 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)	 #          51 :  d2S/dy_jj dm_jj (fb/GeV) (NLO)
4.00000 4.50000 900.000 950.000 0.0003567382834645668 1.1295433983427326e-06	4.00000 4.50000 900.000 950.000 3.982847812499999e-06 3.0778812982874526e-08
4.00000 4.50000 950.000 1000.00 0.00034556782677165366 1.096242996112919e-06	4.00000 4.50000 950.000 1000.00 3.3370678124999992e-06 2.4764715432350973e-08
4.00000 4.50000 1000.00 1050.00 0.005059655905511811 1.6185245731799154e-06	4.00000 4.50000 1000.00 1050.00 1.8419756250000005e-05 1.0335220991464677e-07
 	 
4.50000 5.00000 -50.0000 0.00000 0.0 0.0	4.50000 5.00000 -50.0000 0.00000 0.0 0.0
4.50000 5.00000 0.00000 50.0000 0.0 0.0	4.50000 5.00000 0.00000 50.0000 0.0 0.0
4.50000 5.00000 50.0000 100.000 0.0 0.0	4.50000 5.00000 50.0000 100.000 0.0 0.0
4.50000 5.00000 100.000 150.000 0.0 0.0	4.50000 5.00000 100.000 150.000 0.0 0.0
4.50000 5.00000 150.000 200.000 0.0 0.0	4.50000 5.00000 150.000 200.000 0.0 0.0
4.50000 5.00000 200.000 250.000 0.0 0.0	4.50000 5.00000 200.000 250.000 0.0 0.0
4.50000 5.00000 250.000 300.000 1.0549956724409445e-07 8.308532393867829e-09	4.50000 5.00000 250.000 300.000 2.6487303437499996e-08 2.261952403578206e-09
4.50000 5.00000 300.000 350.000 6.92178716535433e-06 7.184823569524774e-08	4.50000 5.00000 300.000 350.000 1.6205534375e-06 3.225030528688928e-08
4.50000 5.00000 350.000 400.000 2.8456551181102367e-05 2.1854485987052214e-07	4.50000 5.00000 350.000 400.000 4.8162909375e-06 5.415059608899028e-08
4.50000 5.00000 400.000 450.000 5.803987165354332e-05 3.372153083917812e-07	4.50000 5.00000 400.000 450.000 7.38627625e-06 5.639274748419699e-08
4.50000 5.00000 450.000 500.000 9.202290866141734e-05 4.622558443790775e-07	4.50000 5.00000 450.000 500.000 8.841296249999998e-06 5.981994582943978e-08
4.50000 5.00000 500.000 550.000 0.000128027157480315 6.473869473186106e-07	4.50000 5.00000 500.000 550.000 8.982281875e-06 6.477208852019192e-08
4.50000 5.00000 550.000 600.000 0.00016274223622047247 7.049147025651211e-07	4.50000 5.00000 550.000 600.000 8.522947500000001e-06 7.853531874921638e-08
4.50000 5.00000 600.000 650.000 0.0001941767086614174 8.515623444057265e-07	4.50000 5.00000 600.000 650.000 7.518535937500001e-06 4.800463797997926e-08
4.50000 5.00000 650.000 700.000 0.00022283305511811027 8.734755677774909e-07	4.50000 5.00000 650.000 700.000 6.583727187499999e-06 4.296033084791713e-08
4.50000 5.00000 700.000 750.000 0.00024594186614173224 8.837119249438119e-07	4.50000 5.00000 700.000 750.000 5.587528437499999e-06 3.804540100245363e-08
4.50000 5.00000 750.000 800.000 0.00026464004724409445 9.236772392511772e-07	4.50000 5.00000 750.000 800.000 4.788304687499999e-06 3.600693394282399e-08
4.50000 5.00000 800.000 850.000 0.0002771424015748032 9.829631847235425e-07	4.50000 5.00000 800.000 850.000 3.9774065624999994e-06 2.7539616807985258e-08
4.50000 5.00000 850.000 900.000 0.00028596067716535437 1.1298115521875928e-06	4.50000 5.00000 850.000 900.000 3.3022975e-06 2.6278908235257975e-08
4.50000 5.00000 900.000 950.000 0.00029198687401574806 1.197038007193887e-06	4.50000 5.00000 900.000 950.000 2.776303437499999e-06 2.9317923763331028e-08
4.50000 5.00000 950.000 1000.00 0.00029255745669291345 9.957407545885791e-07	4.50000 5.00000 950.000 1000.00 2.3266790625e-06 2.0885616420767418e-08
4.50000 5.00000 1000.00 1050.00 0.005746594881889765 1.7808311033577037e-06	4.50000 5.00000 1000.00 1050.00 1.3578650000000001e-05 2.2632165653647478e-07
 	 
5.00000 5.50000 -50.0000 0.00000 0.0 0.0	5.00000 5.50000 -50.0000 0.00000 0.0 0.0
5.00000 5.50000 0.00000 50.0000 0.0 0.0	5.00000 5.50000 0.00000 50.0000 0.0 0.0
5.00000 5.50000 50.0000 100.000 0.0 0.0	5.00000 5.50000 50.0000 100.000 0.0 0.0
5.00000 5.50000 100.000 150.000 0.0 0.0	5.00000 5.50000 100.000 150.000 0.0 0.0
5.00000 5.50000 150.000 200.000 0.0 0.0	5.00000 5.50000 150.000 200.000 0.0 0.0
5.00000 5.50000 200.000 250.000 0.0 0.0	5.00000 5.50000 200.000 250.000 0.0 0.0
5.00000 5.50000 250.000 300.000 0.0 0.0	5.00000 5.50000 250.000 300.000 0.0 0.0
5.00000 5.50000 300.000 350.000 0.0 0.0	5.00000 5.50000 300.000 350.000 0.0 0.0
5.00000 5.50000 350.000 400.000 5.523925590551179e-07 2.1166537705178075e-08	5.00000 5.50000 350.000 400.000 7.217539375e-08 7.16535658769395e-09
5.00000 5.50000 400.000 450.000 6.723054582677163e-06 9.016752121302381e-08	5.00000 5.50000 400.000 450.000 7.249554375e-07 2.78668438692151e-08
5.00000 5.50000 450.000 500.000 1.9927988503937007e-05 1.9215802879891077e-07	5.00000 5.50000 450.000 500.000 1.5892049999999997e-06 3.114788069036795e-08
5.00000 5.50000 500.000 550.000 3.754362992125985e-05 2.7257427559471497e-07	5.00000 5.50000 500.000 550.000 2.3429640625e-06 3.1865077485949203e-08
5.00000 5.50000 550.000 600.000 5.6564134645669264e-05 3.5223314101289087e-07	5.00000 5.50000 550.000 600.000 2.8518468750000007e-06 3.466232675363247e-08
5.00000 5.50000 600.000 650.000 7.700821653543306e-05 4.6354529141832534e-07	5.00000 5.50000 600.000 650.000 3.0050381249999997e-06 3.3092293041656736e-08
5.00000 5.50000 650.000 700.000 9.761469921259837e-05 5.299687363293902e-07	5.00000 5.50000 650.000 700.000 2.963613125e-06 3.191277414249232e-08
5.00000 5.50000 700.000 750.000 0.0001185895070866142 6.718535282980232e-07	5.00000 5.50000 700.000 750.000 2.7476225000000005e-06 3.125930642360705e-08
5.00000 5.50000 750.000 800.000 0.00013984940944881887 6.695358430660531e-07	5.00000 5.50000 750.000 800.000 2.4796515625e-06 2.987956995938239e-08
5.00000 5.50000 800.000 850.000 0.00015517556692913386 7.014631649458955e-07	5.00000 5.50000 800.000 850.000 2.241360625e-06 2.793780387710225e-08
5.00000 5.50000 850.000 900.000 0.00016978488976377945 7.68861109957221e-07	5.00000 5.50000 850.000 900.000 1.9714887500000006e-06 2.320431556382553e-08
5.00000 5.50000 900.000 950.000 0.00018342166141732284 8.00870663175435e-07	5.00000 5.50000 900.000 950.000 1.7118618749999995e-06 2.0305252512963606e-08
5.00000 5.50000 950.000 1000.00 0.0001928075433070865 8.298594442760404e-07	5.00000 5.50000 950.000 1000.00 1.4688721875000002e-06 1.903394917291981e-08
5.00000 5.50000 1000.00 1050.00 0.005624030708661421 2.688434960659352e-06	5.00000 5.50000 1000.00 1050.00 9.079844374999998e-06 5.4561059513595354e-08
 	 
5.50000 6.00000 -50.0000 0.00000 0.0 0.0	5.50000 6.00000 -50.0000 0.00000 0.0 0.0
5.50000 6.00000 0.00000 50.0000 0.0 0.0	5.50000 6.00000 0.00000 50.0000 0.0 0.0
5.50000 6.00000 50.0000 100.000 0.0 0.0	5.50000 6.00000 50.0000 100.000 0.0 0.0
5.50000 6.00000 100.000 150.000 0.0 0.0	5.50000 6.00000 100.000 150.000 0.0 0.0
5.50000 6.00000 150.000 200.000 0.0 0.0	5.50000 6.00000 150.000 200.000 0.0 0.0
5.50000 6.00000 200.000 250.000 0.0 0.0	5.50000 6.00000 200.000 250.000 0.0 0.0
5.50000 6.00000 250.000 300.000 0.0 0.0	5.50000 6.00000 250.000 300.000 0.0 0.0
5.50000 6.00000 300.000 350.000 0.0 0.0	5.50000 6.00000 300.000 350.000 0.0 0.0
5.50000 6.00000 350.000 400.000 0.0 0.0	5.50000 6.00000 350.000 400.000 0.0 0.0
5.50000 6.00000 400.000 450.000 0.0 0.0	5.50000 6.00000 400.000 450.000 0.0 0.0
5.50000 6.00000 450.000 500.000 1.97681131496063e-07 1.7134248166553044e-08	5.50000 6.00000 450.000 500.000 1.0806937500000004e-08 1.9162695069179297e-09
5.50000 6.00000 500.000 550.000 2.8490659212598425e-06 5.1133073090707844e-08	5.50000 6.00000 500.000 550.000 1.5102042812500002e-07 9.861430756411868e-09
5.50000 6.00000 550.000 600.000 8.836171653543304e-06 9.726498563607648e-08	5.50000 6.00000 550.000 600.000 3.6305971875e-07 1.2334320691294408e-08
5.50000 6.00000 600.000 650.000 1.7646495275590556e-05 1.6276874022996908e-07	5.50000 6.00000 600.000 650.000 5.856156249999999e-07 1.5148899291420858e-08
5.50000 6.00000 650.000 700.000 2.7872825984251966e-05 2.4319684454549895e-07	5.50000 6.00000 650.000 700.000 7.749684375e-07 3.436200936399669e-08
5.50000 6.00000 700.000 750.000 3.852133779527561e-05 3.5700999743313647e-07	5.50000 6.00000 700.000 750.000 8.440146874999999e-07 2.0488136336622168e-08
5.50000 6.00000 750.000 800.000 4.926976850393699e-05 3.986141361740422e-07	5.50000 6.00000 750.000 800.000 8.546897812499999e-07 1.6911232695995736e-08
5.50000 6.00000 800.000 850.000 6.171593307086615e-05 4.4066726810711116e-07	5.50000 6.00000 800.000 850.000 8.758646562499998e-07 1.870110677073576e-08
5.50000 6.00000 850.000 900.000 7.299252519685039e-05 4.648644106345337e-07	5.50000 6.00000 850.000 900.000 8.591341874999999e-07 1.9305476679959724e-08
5.50000 6.00000 900.000 950.000 8.399966299212601e-05 5.027348714581928e-07	5.50000 6.00000 900.000 950.000 8.09856e-07 2.2372126288863197e-08
5.50000 6.00000 950.000 1000.00 9.364282913385827e-05 5.775317214690899e-07	5.50000 6.00000 950.000 1000.00 7.2448921875e-07 1.4110180151989957e-08
5.50000 6.00000 1000.00 1050.00 0.00473137937007874 2.029968072053737e-06	5.50000 6.00000 1000.00 1050.00 5.2470609375e-06 3.909155468299007e-08
 	 
6.00000 6.50000 -50.0000 0.00000 0.0 0.0	6.00000 6.50000 -50.0000 0.00000 0.0 0.0
6.00000 6.50000 0.00000 50.0000 0.0 0.0	6.00000 6.50000 0.00000 50.0000 0.0 0.0
6.00000 6.50000 50.0000 100.000 0.0 0.0	6.00000 6.50000 50.0000 100.000 0.0 0.0
6.00000 6.50000 100.000 150.000 0.0 0.0	6.00000 6.50000 100.000 150.000 0.0 0.0
6.00000 6.50000 150.000 200.000 0.0 0.0	6.00000 6.50000 150.000 200.000 0.0 0.0
6.00000 6.50000 200.000 250.000 0.0 0.0	6.00000 6.50000 200.000 250.000 0.0 0.0
6.00000 6.50000 250.000 300.000 0.0 0.0	6.00000 6.50000 250.000 300.000 0.0 0.0
6.00000 6.50000 300.000 350.000 0.0 0.0	6.00000 6.50000 300.000 350.000 0.0 0.0
6.00000 6.50000 350.000 400.000 0.0 0.0	6.00000 6.50000 350.000 400.000 0.0 0.0
6.00000 6.50000 400.000 450.000 0.0 0.0	6.00000 6.50000 400.000 450.000 0.0 0.0
6.00000 6.50000 450.000 500.000 0.0 0.0	6.00000 6.50000 450.000 500.000 0.0 0.0
6.00000 6.50000 500.000 550.000 0.0 0.0	6.00000 6.50000 500.000 550.000 0.0 0.0
6.00000 6.50000 550.000 600.000 0.0 0.0	6.00000 6.50000 550.000 600.000 0.0 0.0
6.00000 6.50000 600.000 650.000 2.99814918425197e-07 1.421424843369273e-08	6.00000 6.50000 600.000 650.000 8.386820687499999e-09 1.801407393132349e-09
6.00000 6.50000 650.000 700.000 1.99087942519685e-06 4.1108253788454595e-08	6.00000 6.50000 650.000 700.000 4.093530625e-08 3.2717089701622807e-09
6.00000 6.50000 700.000 750.000 5.2875966929133855e-06 1.2099781565363235e-07	6.00000 6.50000 700.000 750.000 9.664979374999999e-08 5.218526778321662e-09
6.00000 6.50000 750.000 800.000 9.69479771653543e-06 1.4959352606710188e-07	6.00000 6.50000 750.000 800.000 1.4701459687500003e-07 1.107674463018519e-08
6.00000 6.50000 800.000 850.000 1.4272630157480316e-05 1.8797664921779704e-07	6.00000 6.50000 800.000 850.000 1.7835525e-07 7.953883063926034e-09
6.00000 6.50000 850.000 900.000 1.9767357480314965e-05 2.7891271131826547e-07	6.00000 6.50000 850.000 900.000 1.9496715624999996e-07 6.963936648455468e-09
6.00000 6.50000 900.000 950.000 2.5049156692913375e-05 4.143697217302668e-07	6.00000 6.50000 900.000 950.000 2.0331149062499995e-07 1.6595900639218013e-08
6.00000 6.50000 950.000 1000.00 3.140002291338583e-05 4.829008366774547e-07	6.00000 6.50000 950.000 1000.00 2.4080781249999995e-07 8.985223432662278e-09
6.00000 6.50000 1000.00 1050.00 0.003397342204724409 1.340355328776155e-06	6.00000 6.50000 1000.00 1050.00 2.5629293750000004e-06 3.263118978576867e-08
 	 
6.50000 7.00000 -50.0000 0.00000 0.0 0.0	6.50000 7.00000 -50.0000 0.00000 0.0 0.0
6.50000 7.00000 0.00000 50.0000 0.0 0.0	6.50000 7.00000 0.00000 50.0000 0.0 0.0
6.50000 7.00000 50.0000 100.000 0.0 0.0	6.50000 7.00000 50.0000 100.000 0.0 0.0
6.50000 7.00000 100.000 150.000 0.0 0.0	6.50000 7.00000 100.000 150.000 0.0 0.0
6.50000 7.00000 150.000 200.000 0.0 0.0	6.50000 7.00000 150.000 200.000 0.0 0.0
6.50000 7.00000 200.000 250.000 0.0 0.0	6.50000 7.00000 200.000 250.000 0.0 0.0
6.50000 7.00000 250.000 300.000 0.0 0.0	6.50000 7.00000 250.000 300.000 0.0 0.0
6.50000 7.00000 300.000 350.000 0.0 0.0	6.50000 7.00000 300.000 350.000 0.0 0.0
6.50000 7.00000 350.000 400.000 0.0 0.0	6.50000 7.00000 350.000 400.000 0.0 0.0
6.50000 7.00000 400.000 450.000 0.0 0.0	6.50000 7.00000 400.000 450.000 0.0 0.0
6.50000 7.00000 450.000 500.000 0.0 0.0	6.50000 7.00000 450.000 500.000 0.0 0.0
6.50000 7.00000 500.000 550.000 0.0 0.0	6.50000 7.00000 500.000 550.000 0.0 0.0
6.50000 7.00000 550.000 600.000 0.0 0.0	6.50000 7.00000 550.000 600.000 0.0 0.0
6.50000 7.00000 600.000 650.000 0.0 0.0	6.50000 7.00000 600.000 650.000 0.0 0.0
6.50000 7.00000 650.000 700.000 0.0 0.0	6.50000 7.00000 650.000 700.000 0.0 0.0
6.50000 7.00000 700.000 750.000 0.0 0.0	6.50000 7.00000 700.000 750.000 0.0 0.0
6.50000 7.00000 750.000 800.000 2.437023112598425e-08 3.6639955570386994e-09	6.50000 7.00000 750.000 800.000 9.921437038437499e-10 6.804795606699543e-10
6.50000 7.00000 800.000 850.000 4.6372283149606286e-07 1.6299119094685963e-08	6.50000 7.00000 800.000 850.000 2.854120125e-09 4.1997293579198914e-10
6.50000 7.00000 850.000 900.000 1.4163862377952757e-06 3.928531243984828e-08	6.50000 7.00000 850.000 900.000 1.1504326562499998e-08 1.4593950414136748e-09
6.50000 7.00000 900.000 950.000 3.0863919883464563e-06 5.934360227466633e-08	6.50000 7.00000 900.000 950.000 2.5771081250000003e-08 5.50575582233902e-09
6.50000 7.00000 950.000 1000.00 5.172078818897637e-06 1.0320989649887058e-07	6.50000 7.00000 950.000 1000.00 2.8744553125e-08 2.201813997535124e-09
6.50000 7.00000 1000.00 1050.00 0.0020770486614173226 1.044619231687073e-06	6.50000 7.00000 1000.00 1050.00 8.4721053125e-07 1.7617829524697383e-08
 	 
7.00000 7.50000 -50.0000 0.00000 0.0 0.0	7.00000 7.50000 -50.0000 0.00000 0.0 0.0
7.00000 7.50000 0.00000 50.0000 0.0 0.0	7.00000 7.50000 0.00000 50.0000 0.0 0.0
7.00000 7.50000 50.0000 100.000 0.0 0.0	7.00000 7.50000 50.0000 100.000 0.0 0.0
7.00000 7.50000 100.000 150.000 0.0 0.0	7.00000 7.50000 100.000 150.000 0.0 0.0
7.00000 7.50000 150.000 200.000 0.0 0.0	7.00000 7.50000 150.000 200.000 0.0 0.0
7.00000 7.50000 200.000 250.000 0.0 0.0	7.00000 7.50000 200.000 250.000 0.0 0.0
7.00000 7.50000 250.000 300.000 0.0 0.0	7.00000 7.50000 250.000 300.000 0.0 0.0
7.00000 7.50000 300.000 350.000 0.0 0.0	7.00000 7.50000 300.000 350.000 0.0 0.0
7.00000 7.50000 350.000 400.000 0.0 0.0	7.00000 7.50000 350.000 400.000 0.0 0.0
7.00000 7.50000 400.000 450.000 0.0 0.0	7.00000 7.50000 400.000 450.000 0.0 0.0
7.00000 7.50000 450.000 500.000 0.0 0.0	7.00000 7.50000 450.000 500.000 0.0 0.0
7.00000 7.50000 500.000 550.000 0.0 0.0	7.00000 7.50000 500.000 550.000 0.0 0.0
7.00000 7.50000 550.000 600.000 0.0 0.0	7.00000 7.50000 550.000 600.000 0.0 0.0
7.00000 7.50000 600.000 650.000 0.0 0.0	7.00000 7.50000 600.000 650.000 0.0 0.0
7.00000 7.50000 650.000 700.000 0.0 0.0	7.00000 7.50000 650.000 700.000 0.0 0.0
7.00000 7.50000 700.000 750.000 0.0 0.0	7.00000 7.50000 700.000 750.000 0.0 0.0
7.00000 7.50000 750.000 800.000 0.0 0.0	7.00000 7.50000 750.000 800.000 0.0 0.0
7.00000 7.50000 800.000 850.000 0.0 0.0	7.00000 7.50000 800.000 850.000 0.0 0.0
7.00000 7.50000 850.000 900.000 0.0 0.0	7.00000 7.50000 850.000 900.000 0.0 0.0
7.00000 7.50000 900.000 950.000 0.0 0.0	7.00000 7.50000 900.000 950.000 0.0 0.0
7.00000 7.50000 950.000 1000.00 7.84887326511811e-12 6.70415605445643e-12	7.00000 7.50000 950.000 1000.00 0.0 0.0
7.00000 7.50000 1000.00 1050.00 0.001060057401574803 7.867969546209017e-07	7.00000 7.50000 1000.00 1050.00 1.8297774999999998e-07 6.1821368281045235e-09
 	 
7.50000 8.00000 -50.0000 0.00000 0.0 0.0	7.50000 8.00000 -50.0000 0.00000 0.0 0.0
7.50000 8.00000 0.00000 50.0000 0.0 0.0	7.50000 8.00000 0.00000 50.0000 0.0 0.0
7.50000 8.00000 50.0000 100.000 0.0 0.0	7.50000 8.00000 50.0000 100.000 0.0 0.0
7.50000 8.00000 100.000 150.000 0.0 0.0	7.50000 8.00000 100.000 150.000 0.0 0.0
7.50000 8.00000 150.000 200.000 0.0 0.0	7.50000 8.00000 150.000 200.000 0.0 0.0
7.50000 8.00000 200.000 250.000 0.0 0.0	7.50000 8.00000 200.000 250.000 0.0 0.0
7.50000 8.00000 250.000 300.000 0.0 0.0	7.50000 8.00000 250.000 300.000 0.0 0.0
7.50000 8.00000 300.000 350.000 0.0 0.0	7.50000 8.00000 300.000 350.000 0.0 0.0
7.50000 8.00000 350.000 400.000 0.0 0.0	7.50000 8.00000 350.000 400.000 0.0 0.0
7.50000 8.00000 400.000 450.000 0.0 0.0	7.50000 8.00000 400.000 450.000 0.0 0.0
7.50000 8.00000 450.000 500.000 0.0 0.0	7.50000 8.00000 450.000 500.000 0.0 0.0
7.50000 8.00000 500.000 550.000 0.0 0.0	7.50000 8.00000 500.000 550.000 0.0 0.0
7.50000 8.00000 550.000 600.000 0.0 0.0	7.50000 8.00000 550.000 600.000 0.0 0.0
7.50000 8.00000 600.000 650.000 0.0 0.0	7.50000 8.00000 600.000 650.000 0.0 0.0
7.50000 8.00000 650.000 700.000 0.0 0.0	7.50000 8.00000 650.000 700.000 0.0 0.0
7.50000 8.00000 700.000 750.000 0.0 0.0	7.50000 8.00000 700.000 750.000 0.0 0.0
7.50000 8.00000 750.000 800.000 0.0 0.0	7.50000 8.00000 750.000 800.000 0.0 0.0
7.50000 8.00000 800.000 850.000 0.0 0.0	7.50000 8.00000 800.000 850.000 0.0 0.0
7.50000 8.00000 850.000 900.000 0.0 0.0	7.50000 8.00000 850.000 900.000 0.0 0.0
7.50000 8.00000 900.000 950.000 0.0 0.0	7.50000 8.00000 900.000 950.000 0.0 0.0
7.50000 8.00000 950.000 1000.00 0.0 0.0	7.50000 8.00000 950.000 1000.00 0.0 0.0
7.50000 8.00000 1000.00 1050.00 0.00043497175590551156 5.695336714018212e-07	7.50000 8.00000 1000.00 1050.00 4.055511875e-08 8.593733181816606e-09
 	 
8.00000 8.50000 -50.0000 0.00000 0.0 0.0	8.00000 8.50000 -50.0000 0.00000 0.0 0.0
8.00000 8.50000 0.00000 50.0000 0.0 0.0	8.00000 8.50000 0.00000 50.0000 0.0 0.0
8.00000 8.50000 50.0000 100.000 0.0 0.0	8.00000 8.50000 50.0000 100.000 0.0 0.0
8.00000 8.50000 100.000 150.000 0.0 0.0	8.00000 8.50000 100.000 150.000 0.0 0.0
8.00000 8.50000 150.000 200.000 0.0 0.0	8.00000 8.50000 150.000 200.000 0.0 0.0
8.00000 8.50000 200.000 250.000 0.0 0.0	8.00000 8.50000 200.000 250.000 0.0 0.0
8.00000 8.50000 250.000 300.000 0.0 0.0	8.00000 8.50000 250.000 300.000 0.0 0.0
8.00000 8.50000 300.000 350.000 0.0 0.0	8.00000 8.50000 300.000 350.000 0.0 0.0
8.00000 8.50000 350.000 400.000 0.0 0.0	8.00000 8.50000 350.000 400.000 0.0 0.0
8.00000 8.50000 400.000 450.000 0.0 0.0	8.00000 8.50000 400.000 450.000 0.0 0.0
8.00000 8.50000 450.000 500.000 0.0 0.0	8.00000 8.50000 450.000 500.000 0.0 0.0
8.00000 8.50000 500.000 550.000 0.0 0.0	8.00000 8.50000 500.000 550.000 0.0 0.0
8.00000 8.50000 550.000 600.000 0.0 0.0	8.00000 8.50000 550.000 600.000 0.0 0.0
8.00000 8.50000 600.000 650.000 0.0 0.0	8.00000 8.50000 600.000 650.000 0.0 0.0
8.00000 8.50000 650.000 700.000 0.0 0.0	8.00000 8.50000 650.000 700.000 0.0 0.0
8.00000 8.50000 700.000 750.000 0.0 0.0	8.00000 8.50000 700.000 750.000 0.0 0.0
8.00000 8.50000 750.000 800.000 0.0 0.0	8.00000 8.50000 750.000 800.000 0.0 0.0
8.00000 8.50000 800.000 850.000 0.0 0.0	8.00000 8.50000 800.000 850.000 0.0 0.0
8.00000 8.50000 850.000 900.000 0.0 0.0	8.00000 8.50000 850.000 900.000 0.0 0.0
8.00000 8.50000 900.000 950.000 0.0 0.0	8.00000 8.50000 900.000 950.000 0.0 0.0
8.00000 8.50000 950.000 1000.00 0.0 0.0	8.00000 8.50000 950.000 1000.00 0.0 0.0
8.00000 8.50000 1000.00 1050.00 0.00012994774803149614 3.9157733599676263e-07	8.00000 8.50000 1000.00 1050.00 3.7987921875e-09 4.4057401694883417e-10
 	 
8.50000 9.00000 -50.0000 0.00000 0.0 0.0	8.50000 9.00000 -50.0000 0.00000 0.0 0.0
8.50000 9.00000 0.00000 50.0000 0.0 0.0	8.50000 9.00000 0.00000 50.0000 0.0 0.0
8.50000 9.00000 50.0000 100.000 0.0 0.0	8.50000 9.00000 50.0000 100.000 0.0 0.0
8.50000 9.00000 100.000 150.000 0.0 0.0	8.50000 9.00000 100.000 150.000 0.0 0.0
8.50000 9.00000 150.000 200.000 0.0 0.0	8.50000 9.00000 150.000 200.000 0.0 0.0
8.50000 9.00000 200.000 250.000 0.0 0.0	8.50000 9.00000 200.000 250.000 0.0 0.0
8.50000 9.00000 250.000 300.000 0.0 0.0	8.50000 9.00000 250.000 300.000 0.0 0.0
8.50000 9.00000 300.000 350.000 0.0 0.0	8.50000 9.00000 300.000 350.000 0.0 0.0
8.50000 9.00000 350.000 400.000 0.0 0.0	8.50000 9.00000 350.000 400.000 0.0 0.0
8.50000 9.00000 400.000 450.000 0.0 0.0	8.50000 9.00000 400.000 450.000 0.0 0.0
8.50000 9.00000 450.000 500.000 0.0 0.0	8.50000 9.00000 450.000 500.000 0.0 0.0
8.50000 9.00000 500.000 550.000 0.0 0.0	8.50000 9.00000 500.000 550.000 0.0 0.0
8.50000 9.00000 550.000 600.000 0.0 0.0	8.50000 9.00000 550.000 600.000 0.0 0.0
8.50000 9.00000 600.000 650.000 0.0 0.0	8.50000 9.00000 600.000 650.000 0.0 0.0
8.50000 9.00000 650.000 700.000 0.0 0.0	8.50000 9.00000 650.000 700.000 0.0 0.0
8.50000 9.00000 700.000 750.000 0.0 0.0	8.50000 9.00000 700.000 750.000 0.0 0.0
8.50000 9.00000 750.000 800.000 0.0 0.0	8.50000 9.00000 750.000 800.000 0.0 0.0
8.50000 9.00000 800.000 850.000 0.0 0.0	8.50000 9.00000 800.000 850.000 0.0 0.0
8.50000 9.00000 850.000 900.000 0.0 0.0	8.50000 9.00000 850.000 900.000 0.0 0.0
8.50000 9.00000 900.000 950.000 0.0 0.0	8.50000 9.00000 900.000 950.000 0.0 0.0
8.50000 9.00000 950.000 1000.00 0.0 0.0	8.50000 9.00000 950.000 1000.00 0.0 0.0
8.50000 9.00000 1000.00 1050.00 1.9841232283464573e-05 1.423342395762459e-07	8.50000 9.00000 1000.00 1050.00 2.5746013437499995e-10 7.088707416450327e-11
 	 
9.00000 9.50000 -50.0000 0.00000 0.0 0.0	9.00000 9.50000 -50.0000 0.00000 0.0 0.0
9.00000 9.50000 0.00000 50.0000 0.0 0.0	9.00000 9.50000 0.00000 50.0000 0.0 0.0
9.00000 9.50000 50.0000 100.000 0.0 0.0	9.00000 9.50000 50.0000 100.000 0.0 0.0
9.00000 9.50000 100.000 150.000 0.0 0.0	9.00000 9.50000 100.000 150.000 0.0 0.0
9.00000 9.50000 150.000 200.000 0.0 0.0	9.00000 9.50000 150.000 200.000 0.0 0.0
9.00000 9.50000 200.000 250.000 0.0 0.0	9.00000 9.50000 200.000 250.000 0.0 0.0
9.00000 9.50000 250.000 300.000 0.0 0.0	9.00000 9.50000 250.000 300.000 0.0 0.0
9.00000 9.50000 300.000 350.000 0.0 0.0	9.00000 9.50000 300.000 350.000 0.0 0.0
9.00000 9.50000 350.000 400.000 0.0 0.0	9.00000 9.50000 350.000 400.000 0.0 0.0
9.00000 9.50000 400.000 450.000 0.0 0.0	9.00000 9.50000 400.000 450.000 0.0 0.0
9.00000 9.50000 450.000 500.000 0.0 0.0	9.00000 9.50000 450.000 500.000 0.0 0.0
9.00000 9.50000 500.000 550.000 0.0 0.0	9.00000 9.50000 500.000 550.000 0.0 0.0
9.00000 9.50000 550.000 600.000 0.0 0.0	9.00000 9.50000 550.000 600.000 0.0 0.0
9.00000 9.50000 600.000 650.000 0.0 0.0	9.00000 9.50000 600.000 650.000 0.0 0.0
9.00000 9.50000 650.000 700.000 0.0 0.0	9.00000 9.50000 650.000 700.000 0.0 0.0
9.00000 9.50000 700.000 750.000 0.0 0.0	9.00000 9.50000 700.000 750.000 0.0 0.0
9.00000 9.50000 750.000 800.000 0.0 0.0	9.00000 9.50000 750.000 800.000 0.0 0.0
9.00000 9.50000 800.000 850.000 0.0 0.0	9.00000 9.50000 800.000 850.000 0.0 0.0
9.00000 9.50000 850.000 900.000 0.0 0.0	9.00000 9.50000 850.000 900.000 0.0 0.0
9.00000 9.50000 900.000 950.000 0.0 0.0	9.00000 9.50000 900.000 950.000 0.0 0.0
9.00000 9.50000 950.000 1000.00 0.0 0.0	9.00000 9.50000 950.000 1000.00 0.0 0.0
9.00000 9.50000 1000.00 1050.00 0.0 0.0	9.00000 9.50000 1000.00 1050.00 0.0 0.0
 	 
9.50000 10.0000 -50.0000 0.00000 0.0 0.0	9.50000 10.0000 -50.0000 0.00000 0.0 0.0
9.50000 10.0000 0.00000 50.0000 0.0 0.0	9.50000 10.0000 0.00000 50.0000 0.0 0.0
9.50000 10.0000 50.0000 100.000 0.0 0.0	9.50000 10.0000 50.0000 100.000 0.0 0.0
9.50000 10.0000 100.000 150.000 0.0 0.0	9.50000 10.0000 100.000 150.000 0.0 0.0
9.50000 10.0000 150.000 200.000 0.0 0.0	9.50000 10.0000 150.000 200.000 0.0 0.0
